ZIP,NAME,FACILITY_TYPE,latitude,longitude
33174,Dr. Carlos J. Finlay Elementary,Public School,25.75919,-80.38155
33165,Olympia Heights Elementary,Public School,25.73328,-80.35339
33144,Seminole Elementary,Public School,25.76924,-80.32337
33055,Carol City Middle,Public School,25.94528,-80.26241
33193,Dante B. Fascell Elementary,Public School,25.69339,-80.44528
33166,District Office/Charter School,Public School,25.81243,-80.27431
33032,Mandarin Lakes K-8 Academy,Public School,25.50759,-80.39072
33125,Kensington Park PLC-D,Public School,25.78255,-80.2436
33135,Miami Senior High,Public School,25.77094,-80.23595
33032,Miami MacArthur South SH,Public School,25.52142,-80.41794
33127,iTech@Thomas A. Edison Education Center,Public School,25.83161,-80.20011
33185,Dr. Manuel C. Barreiro Elementary ECC-3,Public School,25.71978,-80.45778
33137,Toussaint L'ouverture Elementary,Public School,25.82946,-80.19389
33142,George T. Baker Aviation Technical College,Public School,25.80419,-80.26356
33030,Laura C. Saunders Elementary,Public School,25.46301,-80.484
33161,David Lawrence Jr. K-8 Center PLC South Campus,Public School,25.88761,-80.17363
33166,Miami Springs Senior High,Public School,25.83038,-80.29467
33138,Phyllis Ruth Miller Elementary,Public School,25.85502,-80.18063
33055,Dr. Frederica S. Wilson/Skyway Elementary,Public School,25.96166,-80.27766
33179,Dr. Michael M. Krop Senior High,Public School,25.97153,-80.17338
33127,Jose De Diego Middle,Public School,25.80591,-80.20369
33176,Gloria Floyd Elementary,Public School,25.65105,-80.37169
33175,Joe Hall Elementary,Public School,25.7498,-80.41268
33157,Pine Lake Elementary,Public School,25.61382,-80.37017
33144,Food & Nutrition Center,Public School,25.76998,-80.30933
33031,Redland Elementary,Public School,25.53914,-80.4532
33144,Flagami Elementary,Public School,25.76131,-80.31846
33173,Glades Middle,Public School,25.70963,-80.34751
33162,Fulford Elementary,Public School,25.92374,-80.16429
33014,Miami Lakes K-8 Center,Public School,25.90304,-80.30891
33132,School For Advanced Studies Wolfson,Public School,25.77638,-80.19321
33127,Santa Clara Elementary,Public School,25.80463,-80.21255
33155,Emerson Elementary,Public School,25.73719,-80.32442
33132,School Board Adm -Garage,Public School,25.79026,-80.19117
33165,Riviera Middle,Public School,25.72337,-80.36169
33173,Terra Environmental Research Institute Senior High,Public School,25.69261,-80.37026
33014,Hialeah-Miami Lakes Senior High,Public School,25.89496,-80.30732
33149,Marjory Stoneman Douglas Biscayne Nature Center,Public School,25.7154,-80.15129
33014,Miami Lakes Educational Center and Technical College,Public School,25.91624,-80.29495
33139,Miami Beach South Pointe Elementary,Public School,25.77324,-80.13925
33166,Miami Springs Elementary,Public School,25.8229,-80.28457
33177,Transportation Center Vehicle Maintenance Office,Public School,25.62115,-80.38011
33162,Greynolds Park Elementary,Public School,25.94006,-80.17
33176,Leewood K-8 Center,Public School,25.65458,-80.36166
